id,prediction,rationale
95,1,No narrative constraints violated.
136,1,No narrative constraints violated.
59,0,"Hard Constraints Violated: Claim 'He slipped captivity' violates State: confined his tail and paralyzed his movements. A few moments afterward; Claim 'He stayed alive using rope-climbing skills' violates State: His arms became stiff, his legs lost their flexibility, and he was confined his tail and paralyzed his movements.; Claim 'He stayed alive using avalanche-reading skills' violates State: His arms became stiff, his legs lost their flexibility, and he was confined his tail and paralyzed his movements."
60,1,No narrative constraints violated.
124,1,No narrative constraints violated.
111,0,"Hard Constraints Violated: Claim 'He encouraged several anti-royalist moves' violates State: frivolous pretext or other, getting up quarrels with the royalists"
135,1,No narrative constraints violated.
27,0,"Hard Constraints Violated: Claim 'He ran away at the age of 12' violates State: However, he distanced the mere lad of twelve; Claim 'He worked as a porter' violates State: The porter knew him"
110,0,"Hard Constraints Violated: Claim 'He kept a locked study' violates State: and returning to his study, which he shut quickly this"
42,1,No narrative constraints violated.
56,1,No narrative constraints violated.
80,1,No narrative constraints violated.
28,1,No narrative constraints violated.
101,1,No narrative constraints violated.
91,1,No narrative constraints violated.
24,1,No narrative constraints violated.
119,1,No narrative constraints violated.
93,1,No narrative constraints violated.
72,0,Hard Constraints Violated: Claim 'He trained twelve English-speaking youths as spies' violates State: Glenarvan perceived that they were acquainted with the English
16,0,"Hard Constraints Violated: Claim 'Father was part of a British merchant family' violates State: French of Rome, with whom your father does business"
30,1,No narrative constraints violated.
97,1,No narrative constraints violated.
22,1,No narrative constraints violated.
53,1,No narrative constraints violated.
58,1,No narrative constraints violated.
81,1,No narrative constraints violated.
47,0,Hard Constraints Violated: Claim 'He fled alone after his father's death' violates Time: year after the disappearance of his son the poor old man died
7,1,No narrative constraints violated.
121,1,No narrative constraints violated.
129,1,No narrative constraints violated.
51,0,Hard Constraints Violated: Claim 'The old shepherd begged Thalcave to stand between civilisation and the wild with his last breath' violates State: Paganel was right. His horse had been suddenly stricken dead.
127,0,"Hard Constraints Violated: Claim 'A person was in one cell for twenty years' violates State: when the fit seized him, he learned more in a day than others in a five-and-twenty years"
133,1,No narrative constraints violated.
52,1,No narrative constraints violated.
114,1,No narrative constraints violated.
2,1,No narrative constraints violated.
33,1,No narrative constraints violated.
15,1,No narrative constraints violated.
82,0,"Hard Constraints Violated: Claim 'He was captured at the age of 16' violates None: sixteen, for five years to the galleys for forgery.; Claim 'He gnawed fish-bones during imprisonment' violates State: Den,” probably because the captives possess teeth which frequently gnaw"
37,1,No narrative constraints violated.
3,1,No narrative constraints violated.
103,1,No narrative constraints violated.
94,1,No narrative constraints violated.
85,1,No narrative constraints violated.
21,1,No narrative constraints violated.
49,1,No narrative constraints violated.
140,1,No narrative constraints violated.
64,1,No narrative constraints violated.
131,1,No narrative constraints violated.
61,1,No narrative constraints violated.
86,1,No narrative constraints violated.
38,1,No narrative constraints violated.
132,1,No narrative constraints violated.
77,1,No narrative constraints violated.
70,1,No narrative constraints violated.
115,1,No narrative constraints violated.
78,1,No narrative constraints violated.
87,1,No narrative constraints violated.
75,1,No narrative constraints violated.
44,1,No narrative constraints violated.
